Myrciaria ciliolata,1
Ormosia arborea,1
Piptocarpha angustifolia,1
Pisonia ambigua,1
Rollinia sericea,1
Rupretia laxiflora,1
Sebastiania klotzchiana,1
Seguiera floribunda,1
Tabernaemontana hystrix,1
Terminalia triflora,1
Vitex polygama,1
Vochysia tucanorum,1
Blepharocalyx salicifolius,1
Araucaria angustifolia,1
Gymnanthes klotzschiana,1
Lithrea brasiliensis,1
Myrceugenia miersiana,1
Ilex brevicuspis,1
Myrcianthes gigantea,1
Styrax leprosus,1
Sebastiania brasiliensis,1
Myrciaria delicatula,1
Myrcianthes pungens,1
Banara tomentosa,1
Zanthoxylum kleinii,1
Cinnamomum amoenum,1
Symplocos uniflora,1
Trichilia claussenii,1
Picramnia parvifolia,1
Eugenia uruguayensis,1
Quillaja brasiliensis,1
Inga virescens,1
Symplocos tetrandra,1
Xylosma tweediana,1
Hovenia dulcis,1
Myrcia hatschbachii,1
Myrceugenia cucullata,1
Myrcia guianensis,1
Lithrea molleoides,1
Siphoneugena reitzii,1
Myrrhinium atropurpureum,1
Cordia americana,1
Eugenia ramboi,1
Citronella gongonha,1
Handroanthus albus,1
Eugenia pyriformis,1
Scutia buxifolia,1
Randia ferox,1
Myrsine guianensis,1
Aspidosperma australe,1
Ilex taubertiana,1
Allophylus puberulus,1
Picrasma crenata,1
Eugenia rostrifolia,1
Myrsine loefgrenii,1
Dasyphyllum brasiliense,1
Solanum compressum,1
Annona neosalicifolia,1
Sambucus australis,1
Dasyphyllum spinescens,1
Myrcia selloi,1
Ligustrum lucidum,1
Acca sellowiana,1
Xylosma ciliatifolia,1
Schaefferia argentinensis,1
Cordiera concolor,1
Schinus polygamus,1
Myrciaria tenella,1
Eugenia subterminalis,1
Citronella megaphylla,1
Myrcia hartwegiana,1
Allophylus guaraniticus,1
Virola sebifera,1
Schefflera morototoni,1
Xylopia aromatica,1
Machaerium acutifolium,1
Sclerolobium paniculatum,1
Lacistema aggregatum,1
Gomidesia lindeniana,1
Casearia grandiflora,1
Hirtella gracilipes,1
Pouteria torta,1
Cheiloclinium cognatum,1
Terminalia glabrescens,1
Alibertia sessilis,1
Coussarea hydrangeifolia,1
Miconia minutiflora,1
Pseudolmedia laevigata,1
Calyptranthes clusiifolia,1
Heisteria ovata,1
Hirtella glandulosa,1
Rudgea viburnoides,1
Styrax camporum,1
Faramea cyanea,1
Aspidosperma discolor,1
Ouratea castaneifolia,1
Psidium rufum,1
Inga laurina,1
Ficus trigona,1
Ocotea spixiana,1
Pterodon emarginatus,1
Handroanthus serratifolius,1
Qualea dichotoma,1
Myrciaria glanduliflora,1
Calophyllum brasiliense,1
Pouteria gardneri,1
Tapiriraguianensis,1
Rollinia emarginata,1
Didymopanax calvus,1
Cordia magnoliaefolia,1
Protium widgrenii,1
Moytenus robusta,1
Clethra scabra var. olaevigata,1
Baccharis dracunculifolia,1
Baccharis schultzii,1
Baccharis semiserrata var. oeleagnoides,1
Eupatorium vauthierianum,1
Piptocarpha axillaris var. minor,1
Senecio glaziovii,1
Erithroxylum deciduum,1
Pera obovata,1
Sebastiana serrata,1
Ocotea lanata,1
